date,volume_string,change,change_percent,volume,change_string,change_percent_string,high,low,human_date,currency,close,open,stock
2007-02-26,"5,923,691",-0.8200000000000074,-0.83904635219483,5923691,-0.820,-0.84%,97.86,96.46,26 Feb 2007,USD,96.91,97.86,IBM
2007-02-23,"5,882,000",-0.769999999999996,-0.7817258883248691,5882000,-0.770,-0.78%,98.44,97.41,23 Feb 2007,USD,97.73,98.4,IBM
2007-02-22,"5,902,500",-0.5900000000000034,-0.5954183065899722,5902500,-0.590,-0.60%,99.5,97.77,22 Feb 2007,USD,98.5,98.8,IBM
2007-02-21,"4,302,400",-0.2599999999999909,-0.2617010568696436,4302400,-0.260,-0.26%,99.37,98.7,21 Feb 2007,USD,99.09,98.9,IBM
2007-02-20,"4,124,200",0.35999999999999943,0.3636730982927563,4124200,0.360,0.36%,99.46,98.55,20 Feb 2007,USD,99.35,98.66,IBM
2007-02-16,"4,800,700",0.06999999999999318,0.07076425394257296,4800700,0.070,0.07%,99.25,98.63,16 Feb 2007,USD,98.99,98.85,IBM
2007-02-15,"5,568,600",-0.28000000000000114,-0.28225806451613017,5568600,-0.280,-0.28%,99.52,98.48,15 Feb 2007,USD,98.92,99.06,IBM
2007-02-14,"5,644,733",0.9099999999999966,0.9258317224539593,5644733,0.910,0.93%,99.43,98.25,14 Feb 2007,USD,99.2,98.5,IBM
2007-02-13,"5,703,015",-0.28999999999999204,-0.2941773179143762,5703015,-0.290,-0.29%,98.74,97.8,13 Feb 2007,USD,98.29,98.6,IBM
2007-02-12,"5,331,043",0.030000000000001137,0.030441400304415157,5331043,0.030,0.03%,99.2,98.22,12 Feb 2007,USD,98.58,98.8,IBM
2007-02-09,"6,101,300",-1.0700000000000074,-1.074081509737008,6101300,-1.070,-1.07%,99.7,97.81,9 Feb 2007,USD,98.55,99.52,IBM
2007-02-08,"6,152,300",0.0799999999999983,0.08036970062286346,6152300,0.080,0.08%,99.74,98.65,8 Feb 2007,USD,99.62,98.9,IBM
2007-02-07,"7,698,200",-0.30999999999998806,-0.3104656985478098,7698200,-0.310,-0.31%,100.36,99.12,7 Feb 2007,USD,99.54,99.8,IBM
2007-02-06,"6,532,800",-0.5300000000000011,-0.527993624227935,6532800,-0.530,-0.53%,100.4,99.54,6 Feb 2007,USD,99.85,100.0,IBM
2007-02-05,"8,309,900",1.2099999999999937,1.2201270545527818,8309900,1.210,1.22%,100.44,98.9,5 Feb 2007,USD,100.38,99.17,IBM
2007-02-02,"6,657,000",0.1700000000000017,0.17171717171717343,6657000,0.170,0.17%,99.73,98.88,2 Feb 2007,USD,99.17,99.1,IBM
2007-02-01,"6,612,400",-0.15000000000000568,-0.15128593040847774,6612400,-0.150,-0.15%,99.18,97.96,1 Feb 2007,USD,99.0,98.97,IBM
2007-01-31,"6,447,300",-0.21999999999999886,-0.2213947871591012,6447300,-0.220,-0.22%,99.48,98.35,31 Jan 2007,USD,99.15,98.8,IBM
2007-01-30,"7,178,000",0.8299999999999983,0.8422975441445081,7178000,0.830,0.84%,99.45,98.5,30 Jan 2007,USD,99.37,98.57,IBM
2007-01-29,"7,295,000",1.0900000000000034,1.118522319138023,7295000,1.090,1.12%,98.66,97.45,29 Jan 2007,USD,98.54,97.459,IBM
2007-01-26,"5,771,200",-0.060000000000002274,-0.061532150548664004,5771200,-0.060,-0.06%,97.83,96.84,26 Jan 2007,USD,97.45,97.52,IBM
2007-01-25,"6,231,300",0.10999999999999943,0.11293634496919859,6231300,0.110,0.11%,97.92,97.22,25 Jan 2007,USD,97.51,97.22,IBM
2007-01-24,"5,700,000",0.3200000000000074,0.3296250515039219,5700000,0.320,0.33%,97.58,96.58,24 Jan 2007,USD,97.4,97.08,IBM
2007-01-23,"10,337,400",-0.030000000000001137,-0.030892801977140498,10337400,-0.030,-0.03%,97.38,96.2,23 Jan 2007,USD,97.08,96.91,IBM
2007-01-22,"13,540,700",0.9399999999999977,0.9774357907871454,13540700,0.940,0.98%,97.23,96.12,22 Jan 2007,USD,97.11,96.42,IBM
2007-01-19,"26,036,800",-3.280000000000001,-3.298139768728005,26036800,-3.280,-3.30%,96.85,94.55,19 Jan 2007,USD,96.17,94.8,IBM
2007-01-18,"14,725,000",-0.5699999999999932,-0.5698860227954341,14725000,-0.570,-0.57%,99.95,98.91,18 Jan 2007,USD,99.45,99.03,IBM
2007-01-17,"8,202,100",-0.7999999999999972,-0.7934933544931534,8202100,-0.800,-0.79%,100.9,99.9,17 Jan 2007,USD,100.02,100.06,IBM
2007-01-16,"9,602,200",1.4799999999999898,1.4898328971209882,9602200,1.480,1.49%,100.84,99.3,16 Jan 2007,USD,100.82,99.45,IBM
